Series_Title,Released_Year,Rating,Runtime,Genre,IMDB_Rating,Gross
Nelyubov,2017,R,127 min,Drama,7.6,566356
The Florida Project,2017,A,111 min,Drama,7.6,5904366
Just Mercy,2019,A,137 min,"Biography, Crime, Drama",7.6,
Gifted,2017,PG-13,101 min,Drama,7.6,24801212
The Peanut Butter Falcon,2019,PG-13,97 min,"Adventure, Comedy, Drama",7.6,13122642
Victoria,2015,,138 min,"Crime, Drama, Romance",7.6,
Mustang,2015,PG-13,97 min,Drama,7.6,845464
Guardians of the Galaxy Vol. 2,2017,UA,136 min,"Action, Adventure, Comedy",7.6,389813101
Baby Driver,2017,UA,113 min,"Action, Crime, Drama",7.6,107825862
Only the Brave,2017,UA,134 min,"Action, Biography, Drama",7.6,18340051
Bridge of Spies,2015,UA,142 min,"Drama, History, Thriller",7.6,72313754
Incredibles 2,2018,UA,118 min,"Animation, Action, Adventure",7.6,608581744
Moana,2016,U,107 min,"Animation, Adventure, Comedy",7.6,248757044
Sicario,2015,A,121 min,"Action, Crime, Drama",7.6,46889293
Creed,2015,A,133 min,"Drama, Sport",7.6,109767581
Leviafan,2014,R,140 min,"Crime, Drama",7.6,1092800
Hell or High Water,2016,R,102 min,"Action, Crime, Drama",7.6,26862450
Philomena,2013,PG-13,98 min,"Biography, Comedy, Drama",7.6,37707719
Dawn of the Planet of the Apes,2014,UA,130 min,"Action, Adventure, Drama",7.6,208545589
El cuerpo,2012,,112 min,"Mystery, Thriller",7.6,
Serbuan maut,2011,A,101 min,"Action, Thriller",7.6,4105123
End of Watch,2012,A,109 min,"Action, Crime, Drama",7.6,41003371
Kari-gurashi no Arietti,2010,U,94 min,"Animation, Adventure, Family",7.6,19202743
A Star Is Born,2018,UA,136 min,"Drama, Music, Romance",7.6,215288866
True Grit,2010,PG-13,110 min,"Drama, Western",7.6,171243005
Hævnen,2010,R,118 min,"Drama, Romance",7.6,1008098
Despicable Me,2010,U,95 min,"Animation, Comedy, Crime",7.6,251513985
50/50,2011,R,100 min,"Comedy, Drama, Romance",7.6,35014192
Kick-Ass,2010,UA,117 min,"Action, Comedy, Crime",7.6,48071303
Celda 211,2009,,113 min,"Action, Adventure, Crime",7.6,
Moneyball,2011,PG-13,133 min,"Biography, Drama, Sport",7.6,75605492
La piel que habito,2011,R,120 min,"Drama, Horror, Thriller",7.6,3185812
Zombieland,2009,A,88 min,"Adventure, Comedy, Fantasy",7.6,75590286
Die Welle,2008,,107 min,"Drama, Thriller",7.6,
Sherlock Holmes,2009,PG-13,128 min,"Action, Adventure, Mystery",7.6,209028679
The Blind Side,2009,UA,129 min,"Biography, Drama, Sport",7.6,255959475
The Visitor,2007,PG-13,104 min,Drama,7.6,9422422
Seven Pounds,2008,UA,123 min,Drama,7.6,69951824
Eastern Promises,2007,R,100 min,"Action, Crime, Drama",7.6,17114882
Stardust,2007,U,127 min,"Adventure, Family, Fantasy",7.6,38634938
The Secret of Kells,2009,,71 min,"Animation, Adventure, Family",7.6,686383
Inside Man,2006,R,129 min,"Crime, Drama, Mystery",7.6,88513495
Gone Baby Gone,2007,R,114 min,"Crime, Drama, Mystery",7.6,20300218
La Vie En Rose,2007,PG-13,140 min,"Biography, Drama, Music",7.6,10301706
Huo Yuan Jia,2006,PG-13,104 min,"Action, Biography, Drama",7.6,24633730
The Illusionist,2006,U,110 min,"Drama, Fantasy, Mystery",7.6,39868642
Dead Man's Shoes,2004,,90 min,"Crime, Drama, Thriller",7.6,6013
Harry Potter and the Half-Blood Prince,2009,UA,153 min,"Action, Adventure, Family",7.6,301959197
300,2006,A,117 min,"Action, Drama",7.6,210614939
Match Point,2005,R,124 min,"Drama, Romance, Thriller",7.6,23089926
Watchmen,2009,A,162 min,"Action, Drama, Mystery",7.6,107509799
Lord of War,2005,R,122 min,"Action, Crime, Drama",7.6,24149632
Saw,2004,UA,103 min,"Horror, Mystery, Thriller",7.6,56000369
"Synecdoche, New York",2008,R,124 min,Drama,7.6,3081925
Mysterious Skin,2004,R,105 min,Drama,7.6,697181
Jeux d'enfants,2003,R,93 min,"Comedy, Drama, Romance",7.6,548707
Un long dimanche de fiançailles,2004,U,133 min,"Drama, Mystery, Romance",7.6,6167817
The Station Agent,2003,R,89 min,"Comedy, Drama",7.6,5739376
21 Grams,2003,UA,124 min,"Crime, Drama, Thriller",7.6,16290476
Boksuneun naui geot,2002,R,129 min,"Crime, Drama, Thriller",7.6,45289
Finding Neverland,2004,U,106 min,"Biography, Drama, Family",7.6,51680613
25th Hour,2002,R,135 min,Drama,7.6,13060843
The Butterfly Effect,2004,U,113 min,"Drama, Sci-Fi, Thriller",7.6,57938693
28 Days Later...,2002,A,113 min,"Drama, Horror, Sci-Fi",7.6,45064915
Batoru rowaiaru,2000,,114 min,"Action, Adventure, Drama",7.6,
The Royal Tenenbaums,2001,A,110 min,"Comedy, Drama",7.6,52364010
Y tu mamá también,2001,A,106 min,Drama,7.6,13622333
Harry Potter and the Sorcerer's Stone,2001,U,152 min,"Adventure, Family, Fantasy",7.6,317575550
The Others,2001,PG-13,101 min,"Horror, Mystery, Thriller",7.6,96522687
Blow,2001,R,124 min,"Biography, Crime, Drama",7.6,52990775
Enemy at the Gates,2001,A,131 min,"Drama, History, War",7.6,51401758
Minority Report,2002,A,145 min,"Action, Crime, Mystery",7.6,132072926
The Hurricane,1999,R,146 min,"Biography, Drama, Sport",7.6,50668906
American Psycho,2000,A,101 min,"Comedy, Crime, Drama",7.6,15070285
Lola rennt,1998,UA,81 min,"Crime, Drama, Thriller",7.6,7267585
The Thin Red Line,1998,A,170 min,"Drama, War",7.6,36400491
Mulan,1998,U,88 min,"Animation, Adventure, Family",7.6,120620254
Fear and Loathing in Las Vegas,1998,R,118 min,"Adventure, Comedy, Drama",7.6,10680275
Funny Games,1997,A,108 min,"Crime, Drama, Thriller",7.6,
Dark City,1998,A,100 min,"Mystery, Sci-Fi, Thriller",7.6,14378331
Sleepers,1996,UA,147 min,"Crime, Drama, Thriller",7.6,49100000
Lost Highway,1997,A,134 min,"Mystery, Thriller",7.6,3796699
Sense and Sensibility,1995,U,136 min,"Drama, Romance",7.6,43182776
Die Hard: With a Vengeance,1995,A,128 min,"Action, Adventure, Thriller",7.6,100012499
Dead Man,1995,R,121 min,"Adventure, Drama, Fantasy",7.6,1037847
The Bridges of Madison County,1995,A,135 min,"Drama, Romance",7.6,71516617
Apollo 13,1995,U,140 min,"Adventure, Drama, History",7.6,173837933
Trois couleurs: Blanc,1994,U,92 min,"Comedy, Drama, Romance",7.6,1464625
Falling Down,1993,R,113 min,"Action, Crime, Drama",7.6,40903593
Dazed and Confused,1993,U,102 min,Comedy,7.6,7993039
My Cousin Vinny,1992,UA,120 min,"Comedy, Crime",7.6,52929168
Omohide poro poro,1991,U,118 min,"Animation, Drama, Romance",7.6,453243
Delicatessen,1991,R,99 min,"Comedy, Crime",7.6,1794187
Home Alone,1990,U,103 min,"Comedy, Family",7.6,285761243
The Godfather: Part III,1990,A,162 min,"Crime, Drama",7.6,66666062
When Harry Met Sally...,1989,UA,95 min,"Comedy, Drama, Romance",7.6,92823600
The Little Mermaid,1989,U,83 min,"Animation, Family, Fantasy",7.6,111543479
The Naked Gun: From the Files of Police Squad!,1988,U,85 min,"Comedy, Crime",7.6,78756177
"Planes, Trains & Automobiles",1987,U,93 min,"Comedy, Drama",7.6,49530280
Lethal Weapon,1987,A,109 min,"Action, Crime, Thriller",7.6,65207127
Blood Simple,1984,A,99 min,"Crime, Drama, Thriller",7.6,2150000
On Golden Pond,1981,UA,109 min,Drama,7.6,119285432
Mad Max 2,1981,A,96 min,"Action, Adventure, Sci-Fi",7.6,12465371
The Warriors,1979,UA,92 min,"Action, Crime, Thriller",7.6,22490039
The Muppet Movie,1979,U,95 min,"Adventure, Comedy, Family",7.6,76657000
Escape from Alcatraz,1979,A,112 min,"Action, Biography, Crime",7.6,43000000
Watership Down,1978,U,91 min,"Animation, Adventure, Drama",7.6,
Midnight Express,1978,A,121 min,"Biography, Crime, Drama",7.6,35000000
Close Encounters of the Third Kind,1977,U,138 min,"Drama, Sci-Fi",7.6,132088635
The Long Goodbye,1973,A,112 min,"Comedy, Crime, Drama",7.6,959000
Giù la testa,1971,PG,157 min,"Drama, War, Western",7.6,696690
Kelly's Heroes,1970,GP,144 min,"Adventure, Comedy, War",7.6,1378435
The Jungle Book,1967,U,78 min,"Animation, Adventure, Family",7.6,141843612
Blowup,1966,A,111 min,"Drama, Mystery, Thriller",7.6,
A Hard Day's Night,1964,U,87 min,"Comedy, Music, Musical",7.6,13780024
Breakfast at Tiffany's,1961,A,115 min,"Comedy, Drama, Romance",7.6,
Giant,1956,G,201 min,"Drama, Western",7.6,
From Here to Eternity,1953,Passed,118 min,"Drama, Romance, War",7.6,30500000
Lifeboat,1944,,97 min,"Drama, War",7.6,
The 39 Steps,1935,,86 min,"Crime, Mystery, Thriller",7.6,
